date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:22	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_villa/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_villa/id/www.zoyuan.78.delayed	(from http://demo4.sxzywl.net/portal/list/article_villa/id/6.html?tid=6)
14:11:22	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_hotel/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_hotel/id/www.zoyuan.79.delayed	(from http://demo4.sxzywl.net/portal/list/article_hotel/id/4.html?tid=6)
14:11:22	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_hospital/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_hospital/id/www.zoyuan.7a.delayed	(from http://demo4.sxzywl.net/portal/list/article_hospital/id/6.html?tid=6)
14:11:33	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_building/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_building/id/www.zoyuan.7c.delayed	(from http://demo4.sxzywl.net/portal/list/article_building/id/6.html?tid=6)
14:11:33	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_school/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_school/id/www.zoyuan.7d.delayed	(from http://demo4.sxzywl.net/portal/list/article_school/id/6.html?tid=6)
14:11:34	14232/14232	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:08:59%20GMT	http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=3&cid=1	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/center/id/1f422.html	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:34	13253/13253	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:08:59%20GMT	http://demo4.sxzywl.net/portal/list/center/id/3.html?tid=8&cid=3	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/center/id/3d120.html	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:34	13865/13865	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:09:00%20GMT	http://demo4.sxzywl.net/portal/list/center/id/30.html?tid=8&cid=30	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/center/id/303251.html	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:37	18740/18740	---M--	200	added ('OK')	image/png	etag:%224934-5846cb5f30f88%22	http://demo4.sxzywl.net/upload/portal/20180704/2c954290173a63e59045d3d15b27dd20.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/2c954290173a63e59045d3d15b27dd20.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:41	21762/21762	---M--	200	added ('OK')	image/png	etag:%225502-5846cb5f43098%22	http://demo4.sxzywl.net/upload/portal/20180704/d3761216fb1ee77be3001ced4eacff71.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/d3761216fb1ee77be3001ced4eacff71.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
